code_naf,code_rome,name,desc
01.41Z,A1302,Technicien / Technicienne agricole,Contrôleur laitier / Contrôleuse laitière (code OGR:13642) libelle:Contrôleur laitier / Contrôleuse laitière
71.20A,A1302,Technicien / Technicienne agricole,Contrôleur-pointeur / Contrôleuse-pointeuse (code OGR:13665) libelle:Contrôleur-pointeur / Contrôleuse-pointeuse
01.41Z,A1302,Technicien / Technicienne agricole,Peseur laitier / Peseuse laitière (code OGR:17673) libelle:Peseur laitier / Peseuse laitière
01.61Z,A1302,Technicien / Technicienne agricole,Technicien(ne) de contrôle de croissance de l'agriculture (code OGR:19724) libelle:Technicien / Technicienne de contrôle de croissance de l'agriculture
84.22Z,A1302,Technicien / Technicienne agricole,Technicien / Technicienne de contrôle laitier (code OGR:19736) libelle:Technicien / Technicienne de contrôle laitier
10.51B,A1302,Technicien / Technicienne agricole,Technicien / Technicienne de production laitière (code OGR:19917) libelle:Technicien / Technicienne de production laitière
46.19B,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Agro-économiste (code OGR:10804) libelle:Agro-économiste
46.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Agronome (code OGR:510342) libelle:Agronome
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Bio-ingénieur / Bio-ingénieure (code OGR:11522) libelle:Bio-ingénieur / Bio-ingénieure
01.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée de mission en agriculture (code OGR:11824) libelle:Chargé / Chargée de mission en agriculture
01.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée de recherche en agriculture (code OGR:11861) libelle:Chargé / Chargée de recherche en agriculture
01.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée d'études agricoles (code OGR:11896) libelle:Chargé / Chargée d'études agricoles
58.12Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée d'études du patrimoine naturel (code OGR:38762) libelle:Chargé / Chargée d'études du patrimoine naturel
01.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée d'études économiques en agriculture (code OGR:11903) libelle:Chargé / Chargée d'études économiques en agriculture
01.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée d'études en développement agricole (code OGR:11906) libelle:Chargé / Chargée d'études en développement agricole
88.10A,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée d'études en développement rural (code OGR:11907) libelle:Chargé / Chargée d'études en développement rural
01.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Expérimentateur / Expérimentatrice en agriculture (code OGR:14931) libelle:Expérimentateur / Expérimentatrice en agriculture
58.29C,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Expert / Experte agricole (code OGR:510346) libelle:Expert / Experte agricole
63.99Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Expert / Experte cynégétique (code OGR:14934) libelle:Expert / Experte cynégétique
03.21Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Expert / Experte en aquaculture (code OGR:14936) libelle:Expert / Experte en aquaculture
46.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Expert agricole et foncier / Experte agricole et foncière (code OGR:14932) libelle:Expert agricole et foncier / Experte agricole et foncière
81.22Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure agro-environnement (code OGR:15575) libelle:Ingénieur / Ingénieure agro-environnement
32.12Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure agro-halieute (code OGR:15576) libelle:Ingénieur / Ingénieure agro-halieute
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure agronome (code OGR:15577) libelle:Ingénieur / Ingénieure agronome
03.12Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure aquacole (code OGR:510345) libelle:Ingénieur / Ingénieure aquacole
02.40Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure arboricole (code OGR:15583) libelle:Ingénieur / Ingénieure arboricole
01.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur(e) de l'agriculture et de l'environnement (IAE) (code OGR:510344) libelle:Ingénieur / Ingénieure de l'agriculture et de l'environnement (IAE)
46.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure des travaux agricoles (code OGR:15686) libelle:Ingénieur / Ingénieure des travaux agricoles
46.61Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure des travaux agricoles de l'Etat (code OGR:510348) libelle:Ingénieur / Ingénieure des travaux agricoles de l'Etat
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure des travaux ruraux (code OGR:15692) libelle:Ingénieur / Ingénieure des travaux ruraux
42.99Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure du génie rural (code OGR:15723) libelle:Ingénieur / Ingénieure du génie rural
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure écologue (code OGR:200081) libelle:Ingénieur / Ingénieure écologue
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure en expérimentation animale (code OGR:15760) libelle:Ingénieur / Ingénieure en expérimentation animale
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure en expérimentation végétale (code OGR:15761) libelle:Ingénieur / Ingénieure en expérimentation végétale
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur(e) en techniques d'expérimentation animale (code OGR:15788) libelle:Ingénieur / Ingénieure en techniques d'expérimentation animale
32.12Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure halieute (code OGR:15814) libelle:Ingénieur / Ingénieure halieute
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure halieutique (code OGR:510347) libelle:Ingénieur / Ingénieure halieutique
72.19Z,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure horticole (code OGR:15815) libelle:Ingénieur / Ingénieure horticole
