code_naf,code_rome,name,desc
,A1301,Technicien / Technicienne de culture maraîchère,Technicien(ne) du génie sanitaire et environnement (code OGR:20020) libelle:Technicien / Technicienne du génie sanitaire et environnement
,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne en agriculture biologique (code OGR:20036) libelle:Technicien / Technicienne en agriculture biologique
,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne horticole (code OGR:20165) libelle:Technicien / Technicienne horticole
,A1301,Technicien / Technicienne de culture maraîchère,Technicien foncier / Technicienne foncière (code OGR:20147) libelle:Technicien foncier / Technicienne foncière
,A1301,Technicien / Technicienne de culture maraîchère,Technicien foncier / Technicienne foncière en agriculture (code OGR:20148) libelle:Technicien foncier / Technicienne foncière en agriculture
,A1302,Technicien / Technicienne agricole,Agent / Agente de collecte d'embryons (code OGR:10401) libelle:Agent / Agente de collecte d'embryons
,A1302,Technicien / Technicienne agricole,Agent / Agente de production laitière (code OGR:10566) libelle:Agent / Agente de production laitière
,A1302,Technicien / Technicienne agricole,Agent / Agente sanitaire apicole (code OGR:10754) libelle:Agent / Agente sanitaire apicole
,A1302,Technicien / Technicienne agricole,Agent / Agente sanitaire de l'agriculture (code OGR:10755) libelle:Agent / Agente sanitaire de l'agriculture
,A1302,Technicien / Technicienne agricole,Agent / Agente technique agricole (code OGR:10759) libelle:Agent / Agente technique agricole
,A1302,Technicien / Technicienne agricole,Agent / Agente technique d'élevage (code OGR:10778) libelle:Agent / Agente technique d'élevage
,A1302,Technicien / Technicienne agricole,Agent / Agente technique en produits de traitement (code OGR:10789) libelle:Agent / Agente technique en produits de traitement
,A1302,Technicien / Technicienne agricole,Assistant / Assistante sanitaire apicole (code OGR:11330) libelle:Assistant / Assistante sanitaire apicole
,A1302,Technicien / Technicienne agricole,Contrôleur / Contrôleuse de croissance de l'agriculture (code OGR:13594) libelle:Contrôleur / Contrôleuse de croissance de l'agriculture
,A1302,Technicien / Technicienne agricole,Contrôleur / Contrôleuse de culture (code OGR:13595) libelle:Contrôleur / Contrôleuse de culture
,A1302,Technicien / Technicienne agricole,Contrôleur / Contrôleuse de performance (code OGR:13612) libelle:Contrôleur / Contrôleuse de performance
,A1302,Technicien / Technicienne agricole,Contrôleur / Contrôleuse viticole (code OGR:13662) libelle:Contrôleur / Contrôleuse viticole
,A1302,Technicien / Technicienne agricole,Contrôleur laitier / Contrôleuse laitière (code OGR:13642) libelle:Contrôleur laitier / Contrôleuse laitière
,A1302,Technicien / Technicienne agricole,Contrôleur-pointeur / Contrôleuse-pointeuse (code OGR:13665) libelle:Contrôleur-pointeur / Contrôleuse-pointeuse
,A1302,Technicien / Technicienne agricole,Peseur laitier / Peseuse laitière (code OGR:17673) libelle:Peseur laitier / Peseuse laitière
,A1302,Technicien / Technicienne agricole,Technicien(ne) de contrôle de croissance de l'agriculture (code OGR:19724) libelle:Technicien / Technicienne de contrôle de croissance de l'agriculture
,A1302,Technicien / Technicienne agricole,Technicien / Technicienne de contrôle laitier (code OGR:19736) libelle:Technicien / Technicienne de contrôle laitier
,A1302,Technicien / Technicienne agricole,Technicien / Technicienne de production laitière (code OGR:19917) libelle:Technicien / Technicienne de production laitière
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Agro-économiste (code OGR:10804) libelle:Agro-économiste
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Agronome (code OGR:510342) libelle:Agronome
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Bio-ingénieur / Bio-ingénieure (code OGR:11522) libelle:Bio-ingénieur / Bio-ingénieure
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée de mission en agriculture (code OGR:11824) libelle:Chargé / Chargée de mission en agriculture
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée de recherche en agriculture (code OGR:11861) libelle:Chargé / Chargée de recherche en agriculture
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée d'études agricoles (code OGR:11896) libelle:Chargé / Chargée d'études agricoles
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée d'études du patrimoine naturel (code OGR:38762) libelle:Chargé / Chargée d'études du patrimoine naturel
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée d'études économiques en agriculture (code OGR:11903) libelle:Chargé / Chargée d'études économiques en agriculture
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée d'études en développement agricole (code OGR:11906) libelle:Chargé / Chargée d'études en développement agricole
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Chargé / Chargée d'études en développement rural (code OGR:11907) libelle:Chargé / Chargée d'études en développement rural
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Expérimentateur / Expérimentatrice en agriculture (code OGR:14931) libelle:Expérimentateur / Expérimentatrice en agriculture
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Expert / Experte agricole (code OGR:510346) libelle:Expert / Experte agricole
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Expert / Experte cynégétique (code OGR:14934) libelle:Expert / Experte cynégétique
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Expert / Experte en aquaculture (code OGR:14936) libelle:Expert / Experte en aquaculture
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Expert agricole et foncier / Experte agricole et foncière (code OGR:14932) libelle:Expert agricole et foncier / Experte agricole et foncière
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure agro-environnement (code OGR:15575) libelle:Ingénieur / Ingénieure agro-environnement
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure agro-halieute (code OGR:15576) libelle:Ingénieur / Ingénieure agro-halieute
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure agronome (code OGR:15577) libelle:Ingénieur / Ingénieure agronome
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure aquacole (code OGR:510345) libelle:Ingénieur / Ingénieure aquacole
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure arboricole (code OGR:15583) libelle:Ingénieur / Ingénieure arboricole
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur(e) de l'agriculture et de l'environnement (IAE) (code OGR:510344) libelle:Ingénieur / Ingénieure de l'agriculture et de l'environnement (IAE)
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure des travaux agricoles (code OGR:15686) libelle:Ingénieur / Ingénieure des travaux agricoles
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure des travaux agricoles de l'Etat (code OGR:510348) libelle:Ingénieur / Ingénieure des travaux agricoles de l'Etat
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure des travaux ruraux (code OGR:15692) libelle:Ingénieur / Ingénieure des travaux ruraux
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure du génie rural (code OGR:15723) libelle:Ingénieur / Ingénieure du génie rural
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure écologue (code OGR:200081) libelle:Ingénieur / Ingénieure écologue
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure en expérimentation animale (code OGR:15760) libelle:Ingénieur / Ingénieure en expérimentation animale
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure en expérimentation végétale (code OGR:15761) libelle:Ingénieur / Ingénieure en expérimentation végétale
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur(e) en techniques d'expérimentation animale (code OGR:15788) libelle:Ingénieur / Ingénieure en techniques d'expérimentation animale
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure halieute (code OGR:15814) libelle:Ingénieur / Ingénieure halieute
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure halieutique (code OGR:510347) libelle:Ingénieur / Ingénieure halieutique
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure horticole (code OGR:15815) libelle:Ingénieur / Ingénieure horticole
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure méthanisation (code OGR:200082) libelle:Ingénieur / Ingénieure méthanisation
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur / Ingénieure paysagiste (code OGR:15852) libelle:Ingénieur / Ingénieure paysagiste
,A1303,Ingénieur / Ingénieure d'études et de recherche agricoles,Ingénieur-conseil / Ingénieure-conseil agricole (code OGR:510343) libelle:Ingénieur-conseil / Ingénieure-conseil agricole
,A1304,Conseiller / Conseillère technique agricole,Animateur / Animatrice agricole (code OGR:10972) libelle:Animateur / Animatrice agricole
,A1304,Conseiller / Conseillère technique agricole,Animateur / Animatrice d'organismes agricoles (code OGR:11050) libelle:Animateur / Animatrice d'organismes agricoles
,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère agricole (code OGR:13350) libelle:Conseiller / Conseillère agricole
,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère d'agriculture (code OGR:13386) libelle:Conseiller / Conseillère d'agriculture
,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère de gestion agricole (code OGR:13388) libelle:Conseiller / Conseillère de gestion agricole
,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère d'élevage en production laitière (code OGR:13395) libelle:Conseiller / Conseillère d'élevage en production laitière
,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère en génie climatique agricole (code OGR:38324) libelle:Conseiller / Conseillère en génie climatique agricole
,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère en irrigation (code OGR:13439) libelle:Conseiller / Conseillère en irrigation
,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère en machinisme agricole (code OGR:13440) libelle:Conseiller / Conseillère en machinisme agricole
,A1304,Conseiller / Conseillère technique agricole,Conseiller / Conseillère viticole (code OGR:13496) libelle:Conseiller / Conseillère viticole
,A1304,Conseiller / Conseillère technique agricole,Technicien / Technicienne Conseil aux agriculteurs (code OGR:404026) libelle:Technicien / Technicienne Conseil aux agriculteurs
,A1304,Conseiller / Conseillère technique agricole,Technicien / Technicienne semences (code OGR:20252) libelle:Technicien / Technicienne semences
,A1304,Conseiller / Conseillère technique agricole,Technicien / Technicienne viticole (code OGR:20286) libelle:Technicien / Technicienne viticole
,A1305,Technicien / Technicienne des services vétérinaires,Technicien / Technicienne vétérinaire (code OGR:509708) libelle:Technicien / Technicienne vétérinaire
,A1306,Chargé / Chargée de mission biodiversité,Chargé / Chargée d'études en biodiversité (code OGR:38761) libelle:Chargé / Chargée d'études en biodiversité
,A1307,Ingénieur forestier / Ingénieure forestière,Expert forestier / Experte forestière (code OGR:14948) libelle:Expert forestier / Experte forestière
,A1307,Ingénieur forestier / Ingénieure forestière,Ingénieur / Ingénieure des eaux et forêts (code OGR:15682) libelle:Ingénieur / Ingénieure des eaux et forêts
,A1307,Ingénieur forestier / Ingénieure forestière,Ingénieur / Ingénieure des techniques forestières (code OGR:15685) libelle:Ingénieur / Ingénieure des techniques forestières
,A1307,Ingénieur forestier / Ingénieure forestière,Ingénieur / Ingénieure des travaux des eaux et forêts (code OGR:15688) libelle:Ingénieur / Ingénieure des travaux des eaux et forêts
,A1307,Ingénieur forestier / Ingénieure forestière,"Ingénieur(e) du génie rural, des eaux et des forêts (IGREF) (code OGR:509717) libelle:Ingénieur / Ingénieure du génie rural, des eaux et des forêts (IGREF)"
